number,bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
1,0101-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.78359,absunits,FALSE,SP,SP,,,2021
2,0101-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.59153,absunits,FALSE,SP,SP,,,2021
3,0101-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.51164,absunits,FALSE,SP,SP,,,2021
4,0101-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.46064,absunits,FALSE,SP,SP,,,2021
5,0101-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.42668,absunits,FALSE,SP,SP,,,2021
6,0101-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.3976,absunits,FALSE,SP,SP,,,2021
7,0101-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.30276,absunits,FALSE,SP,SP,,,2021
8,0101-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.24742,absunits,FALSE,SP,SP,,,2021
9,0101-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.21016,absunits,FALSE,SP,SP,,,2021
10,0101-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.18414,absunits,FALSE,SP,SP,,,2021
11,0101-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.17603,absunits,FALSE,SP,SP,,,2021
12,0101-10,7/30/2021,beckmanspec,abs260,sample,abs260,0.16488,absunits,FALSE,SP,SP,,,2021
13,0101-10,7/30/2021,beckmanspec,abs270,sample,abs270,0.14584,absunits,FALSE,SP,SP,,,2021
14,0101-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.12588,absunits,FALSE,SP,SP,,,2021
15,0101-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.13589,absunits,FALSE,SP,SP,,,2021
16,0101-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.11482,absunits,FALSE,SP,SP,,,2021
17,0101-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.1052,absunits,FALSE,SP,SP,,,2021
18,0101-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.09483,absunits,FALSE,SP,SP,,,2021
19,0101-10,7/30/2021,beckmanspec,abs300,sample,abs300,0.08622,absunits,FALSE,SP,SP,,,2021
20,0101-10,7/30/2021,beckmanspec,abs310,sample,abs310,0.07275,absunits,FALSE,SP,SP,,,2021
21,0101-10,7/30/2021,beckmanspec,abs320,sample,abs320,0.062,absunits,FALSE,SP,SP,,,2021
22,0101-10,7/30/2021,beckmanspec,abs330,sample,abs330,0.05206,absunits,FALSE,SP,SP,,,2021
23,0101-10,7/30/2021,beckmanspec,abs340,sample,abs340,0.04477,absunits,FALSE,SP,SP,,,2021
24,0101-10,7/30/2021,beckmanspec,abs350,sample,abs350,0.03865,absunits,FALSE,SP,SP,,,2021
25,0101-10,7/30/2021,beckmanspec,abs360,sample,abs360,0.03239,absunits,FALSE,SP,SP,,,2021
26,0101-10,7/30/2021,beckmanspec,abs370,sample,abs370,0.02844,absunits,FALSE,SP,SP,,,2021
27,0101-10,7/30/2021,beckmanspec,abs380,sample,abs380,0.02529,absunits,FALSE,SP,SP,,,2021
28,0101-10,7/30/2021,beckmanspec,abs390,sample,abs390,0.02196,absunits,FALSE,SP,SP,,,2021
29,0101-10,7/30/2021,beckmanspec,abs400,sample,abs400,0.01881,absunits,FALSE,SP,SP,,,2021
30,0101-10,7/30/2021,beckmanspec,abs410,sample,abs410,0.0167,absunits,FALSE,SP,SP,,,2021
31,0101-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01639,absunits,FALSE,SP,SP,,,2021
32,0101-10,7/30/2021,beckmanspec,abs420,sample,abs420,0.015,absunits,FALSE,SP,SP,,,2021
33,0101-10,7/30/2021,beckmanspec,abs430,sample,abs430,0.01341,absunits,FALSE,SP,SP,,,2021
34,0101-10,7/30/2021,beckmanspec,abs440,sample,abs440,0.012,absunits,FALSE,SP,SP,,,2021
35,0101-10,7/30/2021,beckmanspec,abs450,sample,abs450,0.01101,absunits,FALSE,SP,SP,,,2021
36,0101-10,7/30/2021,beckmanspec,abs460,sample,abs460,0.01011,absunits,FALSE,SP,SP,,,2021
37,0101-10,7/30/2021,beckmanspec,abs470,sample,abs470,0.00946,absunits,FALSE,SP,SP,,,2021
38,0101-10,7/30/2021,beckmanspec,abs480,sample,abs480,0.00865,absunits,FALSE,SP,SP,,,2021
39,0101-10,7/30/2021,beckmanspec,abs490,sample,abs490,0.00808,absunits,FALSE,SP,SP,,,2021
40,0101-10,7/30/2021,beckmanspec,abs500,sample,abs500,0.00755,absunits,FALSE,SP,SP,,,2021
41,0101-10,7/30/2021,beckmanspec,abs510,sample,abs510,0.0071,absunits,FALSE,SP,SP,,,2021
42,0101-10,7/30/2021,beckmanspec,abs520,sample,abs520,0.00664,absunits,FALSE,SP,SP,,,2021
43,0101-10,7/30/2021,beckmanspec,abs530,sample,abs530,0.00629,absunits,FALSE,SP,SP,,,2021
44,0101-10,7/30/2021,beckmanspec,abs540,sample,abs540,0.00594,absunits,FALSE,SP,SP,,,2021
45,0101-10,7/30/2021,beckmanspec,abs550,sample,abs550,0.00568,absunits,FALSE,SP,SP,,,2021
46,0101-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.0055,absunits,FALSE,SP,SP,,,2021
47,0101-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.00616,absunits,FALSE,SP,SP,,,2021
48,0101-10,7/30/2021,beckmanspec,abs560,sample,abs560,0.00546,absunits,FALSE,SP,SP,,,2021
49,0101-10,7/30/2021,beckmanspec,abs570,sample,abs570,0.0052,absunits,FALSE,SP,SP,,,2021
50,0101-10,7/30/2021,beckmanspec,abs580,sample,abs580,0.005,absunits,FALSE,SP,SP,,,2021
51,0101-10,7/30/2021,beckmanspec,abs590,sample,abs590,0.00482,absunits,FALSE,SP,SP,,,2021
