number,samplecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
1,"TBD, lake Waco site 1",,turbidimeter,turbidity,sample,TBD,9.24,ntu,FALSE,SP,SP,,,2021
2,0007-01,8/11/2021,lachat,srp,sample,20210728_WHITNEY_00701,0.00514,mgL-1,FALSE,JB,SP,,,2021
3,0008-01,8/11/2021,lachat,srp,sample,801,0.00575,mgL-1,FALSE,JB,SP,,,2021
4,0009-01,8/11/2021,lachat,srp,sample,901,0.00534,mgL-1,FALSE,JB,SP,,,2021
5,0016-01,8/11/2021,lachat,srp,sample,1601,0.066,mgL-1,FALSE,JB,SP,,,2021
6,0017-01,8/11/2021,lachat,srp,sample,1701,0.077,mgL-1,FALSE,JB,SP,,,2021
7,0018-01,8/11/2021,lachat,srp,sample,1801,0.0767,mgL-1,FALSE,JB,SP,,,2021
8,0025-01,8/11/2021,lachat,srp,sample,2501,0.0302,mgL-1,FALSE,JB,SP,,,2021
9,0026-01,8/11/2021,lachat,srp,sample,2601,0.0256,mgL-1,FALSE,JB,SP,,,2021
10,0027-01,8/11/2021,lachat,srp,sample,2701,0.0257,mgL-1,FALSE,JB,SP,,,2021
11,0034-01,8/11/2021,lachat,srp,sample,3401,0.00497,mgL-1,FALSE,JB,SP,,,2021
12,0035-01,8/11/2021,lachat,srp,sample,3501,0.0052,mgL-1,FALSE,JB,SP,,,2021
13,0036-01,8/11/2021,lachat,srp,sample,3601,0.00451,mgL-1,FALSE,JB,SP,,,2021
14,0043-01,8/11/2021,lachat,srp,sample,4301,0.00753,mgL-1,FALSE,JB,SP,,,2021
15,0044-01,8/11/2021,lachat,srp,sample,4401,0.00662,mgL-1,FALSE,JB,SP,,,2021
16,0045-01,8/11/2021,lachat,srp,sample,4501,0.0059,mgL-1,FALSE,JB,SP,,,2021
17,0007-01,8/11/2021,lachat,nh4n,sample,20210728_WHITNEY_00701,-0.00147,mgL-1,FALSE,JB,SP,,,2021
18,0008-01,8/11/2021,lachat,nh4n,sample,801,-0.00266,mgL-1,FALSE,JB,SP,,,2021
19,0009-01,8/11/2021,lachat,nh4n,sample,901,0.000403,mgL-1,FALSE,JB,SP,,,2021
20,0016-01,8/11/2021,lachat,nh4n,sample,1601,0.0211,mgL-1,FALSE,JB,SP,,,2021
21,0017-01,8/11/2021,lachat,nh4n,sample,1701,0.0241,mgL-1,FALSE,JB,SP,,,2021
22,0018-01,8/11/2021,lachat,nh4n,sample,1801,0.0219,mgL-1,FALSE,JB,SP,,,2021
23,0025-01,8/11/2021,lachat,nh4n,sample,2501,0.15,mgL-1,FALSE,JB,SP,,,2021
24,0026-01,8/11/2021,lachat,nh4n,sample,2601,0.166,mgL-1,FALSE,JB,SP,,,2021
25,0027-01,8/11/2021,lachat,nh4n,sample,2701,0.151,mgL-1,FALSE,JB,SP,,,2021
