bottlecode,filtered,system,station,intent,lat,lon,groupname,datecollect,timecollect,watertype,depth_m,poresizeiffiltered_micron,ambientTF,experimenttype,methodcollect,sampleuser,recorduser,note,flag,dateentered
0416-01,F,Lake Waco,1,,31.54371,-97.221,LW0,8/18/2021,11:10,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0318-14,F,Lake Waco,1,,31.54371,-97.221,LW0,8/18/2021,11:10,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0391-01,F,Lake Waco,1,,31.54371,-97.221,LW0,8/18/2021,11:10,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
"TBD, unfiltered lake Waco site #1",UF,Lake Waco,1,,31.54371,-97.221,LW0,8/18/2021,11:10,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0216-10,F,Lake Waco,2,,31.55517,-97.2161,LW0,8/18/2021,13:35,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0420-01,F,Lake Waco,2,,31.55517,-97.2161,LW0,8/18/2021,13:35,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0388-01,F,Lake Waco,2,,31.55517,-97.2161,LW0,8/18/2021,13:35,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0360-09,UF,Lake Waco,2,,31.55517,-97.2161,LW0,8/18/2021,13:35,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0217-10,F,Lake Waco,3,,31.59958,-97.2926,LW0,8/18/2021,14:25,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0389-01,F,Lake Waco,3,,31.59958,-97.2926,LW0,8/18/2021,14:25,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0421-01,F,Lake Waco,3,,31.59958,-97.2926,LW0,8/18/2021,14:25,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0357-09,UF,Lake Waco,3,,31.59958,-97.2926,LW0,8/18/2021,14:25,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0361-09,UF,Lake Waco,4,,31.51055,-97.24861,LW0,8/18/2021,15:45,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0384-01,F,Lake Waco,4,,31.51055,-97.24861,LW0,8/18/2021,15:45,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0214-10,F,Lake Waco,4,,31.51055,-97.24861,LW0,8/18/2021,15:45,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0418-01,F,Lake Waco,4,,31.51055,-97.24861,LW0,8/18/2021,15:45,surfacewater,0.25,0.45,TRUE,none,"grab,syringefilter","SP,MM",SP,,,2021
0607-09,UF,Lake Waco,1,,31.60062,-97.294,LW0,9/3/2021,12:42,surfacewater,0.5,0.45,TRUE,none,grab,"SP,LM",SP,,,2021
0608-09,UF,Lake Waco,2,,31.60341,-97.2736,LW0,9/3/2021,12:56,surfacewater,0.5,0.45,TRUE,none,grab,"SP,LM",SP,,,2021
0609-09,UF,Lake Waco,3,,31.59363,-97.2563,LW0,9/3/2021,13:17,surfacewater,0.5,0.45,TRUE,none,grab,"SP,LM",SP,,,2021
0610-09,UF,Lake Waco,4,,31.59037,-97.2395,LW0,9/3/2021,13:26,surfacewater,0.5,0.45,TRUE,none,grab,"SP,LM",SP,,,2021
0611-09,UF,Lake Waco,5,,31.57925,-97.2217,LW0,9/3/2021,13:38,surfacewater,0.5,0.45,TRUE,none,grab,"SP,LM",SP,,,2021
