bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag
0101-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.78359,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.59153,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.51164,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.46064,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.42668,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.3976,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.30276,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.24742,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.21016,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.18414,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.17603,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs260,sample,abs44407,0.16488,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs270,sample,abs44407,0.14584,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.12588,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.13589,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.11482,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.1052,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.09483,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs300,sample,abs44407,0.08622,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs310,sample,abs44407,0.07275,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs320,sample,abs44407,0.062,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs330,sample,abs44407,0.05206,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs340,sample,abs44407,0.04477,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs350,sample,abs44407,0.03865,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs360,sample,abs44407,0.03239,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs370,sample,abs44407,0.02844,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs380,sample,abs44407,0.02529,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs390,sample,abs44407,0.02196,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs400,sample,abs44407,0.01881,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs410,sample,abs44407,0.0167,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01639,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs420,sample,abs44407,0.015,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs430,sample,abs44407,0.01341,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs440,sample,abs44407,0.012,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs450,sample,abs44407,0.01101,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs460,sample,abs44407,0.01011,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs470,sample,abs44407,0.00946,absunits,FALSE,SP,SP,
0101-10,7/30/21,beckmanspec,abs480,sample,abs44407,0.00865,absunits,FALSE,SP,SP,
